Index: 0, curve = -1, point = -1
Index: 1, curve = 0, point = 0
Index: 2, curve = 0, point = 1
Index: 3, curve = 0, point = 2
Index: 4, curve = 0, point = 3
Index: 5, curve = 0, point = 4
Index: 6, curve = 0, point = 5
Index: 7, curve = 0, point = 6
Index: 8, curve = 0, point = 7
Index: 9, curve = 0, point = 8
Index: 10, curve = 0, point = 9
Index: 11, curve = 0, point = 10
Index: 12, curve = 0, point = 11
Index: 13, curve = 0, point = 12
Index: 14, curve = 0, point = 13
Index: 15, curve = 0, point = 14
Index: 16, curve = 0, point = 15
Index: 17, curve = 0, point = 16
Index: 18, curve = 0, point = 17
Index: 19, curve = 0, point = 18
Index: 20, curve = 0, point = 19
Index: 21, curve = 0, point = 20
Index: 22, curve = 0, point = 21
Index: 23, curve = 0, point = 22
Index: 24, curve = 0, point = 23
Index: 25, curve = 0, point = 24
Index: 26, curve = 0, point = 25
Index: 27, curve = 0, point = 26
Index: 28, curve = 0, point = 27
Index: 29, curve = 0, point = 28
Index: 30, curve = 0, point = 29
Index: 31, curve = 0, point = 30
Index: 32, curve = 0, point = 31
Index: 33, curve = 0, point = 32
Index: 34, curve = 0, point = 33
Index: 35, curve = 0, point = 34
Index: 36, curve = 0, point = 35
Index: 37, curve = 0, point = 36
Index: 38, curve = 0, point = 37
Index: 39, curve = 0, point = 38
Index: 40, curve = 0, point = 39
Index: 41, curve = 0, point = 40
Index: 42, curve = 0, point = 41
Index: 43, curve = 0, point = 42
Index: 44, curve = 0, point = 43
Index: 45, curve = 0, point = 44
Index: 46, curve = 0, point = 45
Index: 47, curve = 0, point = 46
Index: 48, curve = 0, point = 47
Index: 49, curve = 0, point = 48
Index: 50, curve = 0, point = 49
Index: 51, curve = 0, point = 50
Index: 52, curve = 0, point = 51
Index: 53, curve = 0, point = 52
Index: 54, curve = 0, point = 53
Index: 55, curve = 0, point = 54
Index: 56, curve = 0, point = 55
Index: 57, curve = 0, point = 56
Index: 58, curve = 0, point = 57
Index: 59, curve = 0, point = 58
Index: 60, curve = 0, point = 59
Index: 61, curve = 0, point = 60
Index: 62, curve = 0, point = 61
Index: 63, curve = 0, point = 62
Index: 64, curve = 0, point = 63
Index: 65, curve = 0, point = 64
Index: 66, curve = 0, point = 65
